REGION;COMUNA;URBANIDAD
MAULE;TALCA;URBANO
VALPARAISO;VIÑA DEL MAR;URBANO
ATACAMA;VALLENAR;URBANO
COQUIMBO;COQUIMBO;URBANO
METROPOLITANA;SANTIAGO;URBANO
METROPOLITANA;ÑUÑOA;URBANO
LOS LAGOS;CASTRO;URBANO
METROPOLITANA;EL BOSQUE;URBANO
ARICA;ARICA;URBANO
BIO-BIO;SAN PEDRO DE LA PAZ;URBANO
BIO-BIO;CONCEPCION;URBANO
ANTOFAGASTA;CALAMA;URBANO
METROPOLITANA;LA REINA;URBANO
VALPARAISO;CASABLANCA;SEMIURBANO
LA ARAUCANIA;TEMUCO;URBANO
METROPOLITANA;SAN BERNARDO;URBANO
VALPARAISO;VALPARAISO;URBANO
METROPOLITANA;MAIPU;URBANO
METROPOLITANA;PUENTE ALTO;URBANO
METROPOLITANA;LAS CONDES;URBANO
LOS LAGOS;OSORNO;URBANO
VALPARAISO;EL QUISCO;SEMIURBANO
COQUIMBO;ILLAPEL;SEMIURBANO
METROPOLITANA;CONCHALI;URBANO
VALPARAISO;LA LIGUA;SEMIURBANO
ÑUBLE;CHILLAN;URBANO
METROPOLITANA;QUINTA NORMAL;URBANO
VALPARAISO;VILLA ALEMANA;URBANO
COQUIMBO;OVALLE;URBANO
METROPOLITANA;LA FLORIDA;URBANO
METROPOLITANA;MELIPILLA;URBANO
METROPOLITANA;INDEPENDENCIA;URBANO
METROPOLITANA;LO BARNECHEA;URBANO
METROPOLITANA;PEDRO AGUIRRE CERDA;URBANO
VALPARAISO;SAN FELIPE;URBANO
BIO-BIO;LOS ANGELES;URBANO
OHIGGINS;RANCAGUA;URBANO
BIO-BIO;HUALPEN;URBANO
LA ARAUCANIA;VILLARRICA;URBANO
ANTOFAGASTA;TOCOPILLA;SEMIURBANO
LA ARAUCANIA;CURACAUTIN;SEMIURBANO
VALPARAISO;LIMACHE;URBANO
COQUIMBO;LA SERENA;URBANO
METROPOLITANA;SAN MIGUEL;URBANO
METROPOLITANA;VITACURA;URBANO
ÑUBLE;QUILLON;SEMIURBANO
LOS LAGOS;ANCUD;SEMIURBANO
VALPARAISO;QUILLOTA;URBANO
METROPOLITANA;PROVIDENCIA;URBANO
METROPOLITANA;PAINE;URBANO
METROPOLITANA;RENCA;URBANO
BIO-BIO;TOME;URBANO
METROPOLITANA;LA CISTERNA;URBANO
ÑUBLE;YUNGAY;SEMIURBANO
METROPOLITANA;SAN JOAQUIN;URBANO
MAULE;CURICO;URBANO
COQUIMBO;VICUÑA;SEMIURBANO
METROPOLITANA;ESTACION CENTRAL;URBANO
OHIGGINS;SAN FERNANDO;URBANO
OHIGGINS;SAN FRANCISCO DE MOSTAZAL;SEMIURBANO
VALPARAISO;QUILPUE;URBANO
METROPOLITANA;MACUL;URBANO
BIO-BIO;ARAUCO;SEMIURBANO
TARAPACA;IQUIQUE;URBANO
BIO-BIO;MULCHEN;SEMIURBANO
LOS RIOS;VALDIVIA;URBANO
METROPOLITANA;TALAGANTE;URBANO
METROPOLITANA;QUILICURA;URBANO
ÑUBLE;PORTEZUELO;RURAL
BIO-BIO;CHIGUAYANTE;URBANO
LA ARAUCANIA;ANGOL;URBANO
METROPOLITANA;CERRO NAVIA;URBANO
MAGALLANES;PUERTO NATALES;SEMIURBANO
LOS LAGOS;PUERTO MONTT;URBANO
METROPOLITANA;HUECHURABA;URBANO
METROPOLITANA;LA GRANJA;URBANO
METROPOLITANA;BUIN;URBANO
BIO-BIO;CURANILAHUE;SEMIURBANO
LA ARAUCANIA;GORBEA;SEMIURBANO
METROPOLITANA;SAN JOSE DE MAIPO;SEMIURBANO
LOS LAGOS;PUYEHUE;RURAL
BIO-BIO;LOTA;URBANO
BIO-BIO;NACIMIENTO;SEMIURBANO
OHIGGINS;SANTA CRUZ;SEMIURBANO
MAULE;LINARES;URBANO
TARAPACA;ALTO HOSPICIO;URBANO
VALPARAISO;LA CALERA;URBANO
MAGALLANES;PUNTA ARENAS;URBANO
VALPARAISO;LOS ANDES;URBANO
METROPOLITANA;LO ESPEJO;URBANO
VALPARAISO;ALGARROBO;SEMIURBANO
LA ARAUCANIA;LOS SAUCES;RURAL
OHIGGINS;RENGO;URBANO
ANTOFAGASTA;ANTOFAGASTA;URBANO
LA ARAUCANIA;TRAIGUEN;SEMIURBANO
VALPARAISO;SAN ANTONIO;URBANO
METROPOLITANA;PUDAHUEL;URBANO
METROPOLITANA;PEÑALOLEN;URBANO
ATACAMA;COPIAPO;URBANO
BIO-BIO;CAÑETE;SEMIURBANO
LA ARAUCANIA;PITRUFQUEN;SEMIURBANO
LOS LAGOS;RIO NEGRO;RURAL
LA ARAUCANIA;LONCOCHE;SEMIURBANO
LOS LAGOS;LOS MUERMOS;SEMIURBANO
LA ARAUCANIA;FREIRE;SEMIURBANO
ÑUBLE;SAN CARLOS;URBANO
AYSÉN;COYHAIQUE;URBANO
METROPOLITANA;SAN RAMON;URBANO
MAULE;PARRAL;SEMIURBANO
MAULE;SAN JAVIER;URBANO
OHIGGINS;CHIMBARONGO;SEMIURBANO
MAULE;CUREPTO;RURAL
OHIGGINS;PERALILLO;SEMIURBANO
LOS LAGOS;COCHAMO;RURAL
MAULE;HUALAÑE;RURAL
OHIGGINS;PAREDONES;RURAL
COQUIMBO;CANELA;RURAL
VALPARAISO;NOGALES;SEMIURBANO
OHIGGINS;REQUINOA;SEMIURBANO
LA ARAUCANIA;VICTORIA;SEMIURBANO
METROPOLITANA;CERRILLOS;URBANO
BIO-BIO;FLORIDA;RURAL
METROPOLITANA;LO PRADO;URBANO
METROPOLITANA;RECOLETA;URBANO
OHIGGINS;SAN VICENTE DE TAGUA  TAGUA;SEMIURBANO
METROPOLITANA;ALHUE;RURAL
LA ARAUCANIA;CUNCO;SEMIURBANO
METROPOLITANA;LAMPA;URBANO
ÑUBLE;QUIRIHUE;RURAL
LA ARAUCANIA;LAUTARO;SEMIURBANO
BIO-BIO;TALCAHUANO;URBANO
ATACAMA;CALDERA;SEMIURBANO
VALPARAISO;CABILDO;SEMIURBANO
BIO-BIO;SANTA JUANA;SEMIURBANO
METROPOLITANA;EL MONTE;SEMIURBANO
LA ARAUCANIA;PUERTO SAAVEDRA;RURAL
VALPARAISO;SANTO DOMINGO;SEMIURBANO
LOS RIOS;LA UNION;SEMIURBANO
METROPOLITANA;PEÑAFLOR;URBANO
LOS LAGOS;QUELLON;SEMIURBANO
LOS RIOS;PANGUIPULLI;SEMIURBANO
OHIGGINS;PALMILLA;RURAL
VALPARAISO;LLAY-LLAY;SEMIURBANO
ATACAMA;TIERRA AMARILLA;SEMIURBANO
LA ARAUCANIA;NUEVA IMPERIAL;SEMIURBANO
AYSÉN;PUERTO AYSEN;SEMIURBANO
ÑUBLE;COELEMU;SEMIURBANO
BIO-BIO;CORONEL;URBANO
MAULE;VICHUQUEN;RURAL
METROPOLITANA;SAN PEDRO;RURAL
LOS LAGOS;PUERTO VARAS;URBANO
MAULE;MOLINA;URBANO
LA ARAUCANIA;CURARREHUE;RURAL
VALPARAISO;RINCONADA;SEMIURBANO
METROPOLITANA;COLINA;URBANO
MAULE;YERBAS BUENAS;SEMIURBANO
LA ARAUCANIA;TOLTEN;RURAL
LA ARAUCANIA;PUCON;SEMIURBANO
LA ARAUCANIA;PADRE LAS CASAS;URBANO
MAULE;TENO;SEMIURBANO
LOS RIOS;RIO BUENO;SEMIURBANO
ANTOFAGASTA;TALTAL;SEMIURBANO
VALPARAISO;OLMUE;SEMIURBANO
OHIGGINS;GRANEROS;SEMIURBANO
BIO-BIO;NEGRETE;RURAL
VALPARAISO;PETORCA;RURAL
MAULE;RAUCO;RURAL
AYSÉN;CHILE CHICO;RURAL
VALPARAISO;QUINTERO;SEMIURBANO
LOS LAGOS;CURACO DE VELEZ;RURAL
MAULE;CONSTITUCION;URBANO
BIO-BIO;YUMBEL;SEMIURBANO
LOS LAGOS;PUERTO OCTAY;RURAL
OHIGGINS;MACHALI;URBANO
COQUIMBO;COMBARBALA;RURAL
LOS LAGOS;QUINCHAO;RURAL
MAULE;CAUQUENES;SEMIURBANO
OHIGGINS;NANCAGUA;SEMIURBANO
LOS RIOS;PAILLACO;SEMIURBANO
OHIGGINS;PICHILEMU;SEMIURBANO
LA ARAUCANIA;COLLIPULLI;SEMIURBANO
LOS RIOS;LANCO;SEMIURBANO
LOS LAGOS;CHONCHI;SEMIURBANO
METROPOLITANA;CURACAVI;SEMIURBANO
OHIGGINS;LITUECHE;RURAL
OHIGGINS;DOÑIHUE;SEMIURBANO
MAULE;COLBUN;SEMIURBANO
COQUIMBO;PUNITAQUI;RURAL
MAULE;SAN CLEMENTE;SEMIURBANO
METROPOLITANA;LA PINTANA;URBANO
OHIGGINS;PEUMO;SEMIURBANO
LOS LAGOS;PURRANQUE;SEMIURBANO
VALPARAISO;CON CON;URBANO
BIO-BIO;CABRERO;SEMIURBANO
VALPARAISO;CARTAGENA;SEMIURBANO
ÑUBLE;BULNES;SEMIURBANO
METROPOLITANA;PIRQUE;SEMIURBANO
LA ARAUCANIA;LONQUIMAY;RURAL
ANTOFAGASTA;SIERRA GORDA;RURAL
LOS LAGOS;CALBUCO;SEMIURBANO
OHIGGINS;PUMANQUE;RURAL
VALPARAISO;LA CRUZ;SEMIURBANO
MAULE;PENCAHUE;RURAL
VALPARAISO;PAPUDO;RURAL
MAULE;LONGAVI;RURAL
BIO-BIO;LEBU;SEMIURBANO
ÑUBLE;SAN IGNACIO;SEMIURBANO
METROPOLITANA;TIL TIL;SEMIURBANO
VALPARAISO;HIJUELAS;SEMIURBANO
LA ARAUCANIA;CARAHUE;SEMIURBANO
VALPARAISO;CATEMU;SEMIURBANO
LA ARAUCANIA;PUREN;RURAL
LOS LAGOS;DALCAHUE;RURAL
OHIGGINS;QUINTA DE TILCOCO;RURAL
VALPARAISO;EL TABO;SEMIURBANO
LOS LAGOS;PALENA;RURAL
BIO-BIO;LAJA;SEMIURBANO
LOS LAGOS;CHAITEN;RURAL
OHIGGINS;LOLOL;RURAL
LOS RIOS;SAN JOSE DE LA MARIQUINA;SEMIURBANO
VALPARAISO;PUCHUNCAVI;SEMIURBANO
BIO-BIO;HUALQUI;SEMIURBANO
OHIGGINS;COLTAUCO;SEMIURBANO
COQUIMBO;MONTE PATRIA;SEMIURBANO
TARAPACA;POZO ALMONTE;SEMIURBANO
ÑUBLE;RANQUIL;RURAL
ATACAMA;FREIRINA;RURAL
LA ARAUCANIA;CHOL CHOL;RURAL
COQUIMBO;LOS VILOS;SEMIURBANO
COQUIMBO;SALAMANCA;SEMIURBANO
BIO-BIO;PENCO;URBANO
COQUIMBO;ANDACOLLO;SEMIURBANO
LA ARAUCANIA;TEODORO SCHMIDT;RURAL
LA ARAUCANIA;PERQUENCO;RURAL
LA ARAUCANIA;VILCUN;SEMIURBANO
OHIGGINS;SAN VICENTE DE TAGUA TAGUA;SEMIURBANO
LOS RIOS;FUTRONO;RURAL
LOS LAGOS;FUTALEUFU;RURAL
VALPARAISO;SAN ESTEBAN;SEMIURBANO
VALPARAISO;PUTAENDO;SEMIURBANO
BIO-BIO;SAN ROSENDO;RURAL
LOS LAGOS;FRESIA;RURAL
LOS LAGOS;LLANQUIHUE;SEMIURBANO
LOS LAGOS;MAULLIN;RURAL
ÑUBLE;TREHUACO;RURAL
BIO-BIO;TUCAPEL;SEMIURBANO
MAULE;MAULE;URBANO
OHIGGINS;MARCHIHUE;RURAL
COQUIMBO;PAIHUANO;RURAL
METROPOLITANA;ISLA DE MAIPO;SEMIURBANO
LOS LAGOS;SAN PABLO;RURAL
BIO-BIO;TIRUA;RURAL
VALPARAISO;PANQUEHUE;RURAL
LA ARAUCANIA;MELIPEUCO;RURAL
ÑUBLE;CHILLAN VIEJO;URBANO
MAULE;ROMERAL;SEMIURBANO
LA ARAUCANIA;ERCILLA;RURAL
OHIGGINS;CHEPICA;SEMIURBANO
ÑUBLE;COBQUECURA;RURAL
VALPARAISO;SANTA MARIA;SEMIURBANO
COQUIMBO;LA HIGUERA;RURAL
LOS LAGOS;FRUTILLAR;SEMIURBANO
OHIGGINS;LAS CABRAS;SEMIURBANO
MAULE;VILLA ALEGRE;SEMIURBANO
OHIGGINS;NAVIDAD;RURAL
MAULE;RETIRO;SEMIURBANO
MAULE;SAN RAFAEL;RURAL
OHIGGINS;PICHIDEGUA;SEMIURBANO
OHIGGINS;MALLOA;RURAL
LOS LAGOS;HUALAIHUE;RURAL
LOS LAGOS;QUEMCHI;RURAL
ÑUBLE;SAN FABIAN DE ALICO;RURAL
MAULE;LICANTEN;RURAL
BIO-BIO;SANTA BARBARA;RURAL
ÑUBLE;EL CARMEN;RURAL
LA ARAUCANIA;GALVARINO;RURAL
ÑUBLE;PINTO;RURAL
ARICA;PUTRE;RURAL
LOS RIOS;LAGO RANCO;RURAL
METROPOLITANA;PADRE HURTADO;URBANO
LOS RIOS;LOS LAGOS;SEMIURBANO
MAULE;PELARCO;RURAL
VALPARAISO;ZAPALLAR;SEMIURBANO
ÑUBLE;COIHUECO;SEMIURBANO
ATACAMA;DIEGO DE ALMAGRO;SEMIURBANO
AYSÉN;COCHRANE;RURAL
MAULE;SAGRADA FAMILIA;SEMIURBANO
MAULE;CHANCO;RURAL
ARICA;CAMARONES;RURAL
ATACAMA;CHAÑARAL;SEMIURBANO
LOS RIOS;CORRAL;RURAL
ATACAMA;HUASCO;SEMIURBANO
ÑUBLE;ÑIQUEN;RURAL
LOS LAGOS;SAN JUAN DE LA COSTA;RURAL
OHIGGINS;PLACILLA;RURAL
ÑUBLE;NIQUEN;RURAL
OHIGGINS;CODEGUA;RURAL
OHIGGINS;OLIVAR;RURAL
LOS LAGOS;PUYEHUE ENTRELAGOS;RURAL
ANTOFAGASTA;SAN PEDRO DE ATACAMA;RURAL
MAULE;RIO CLARO;RURAL
LA ARAUCANIA;LUMACO;RURAL
BIO-BIO;QUILLECO;RURAL
BIO-BIO;ANTUCO;RURAL
METROPOLITANA;CALERA DE TANGO;SEMIURBANO
ÑUBLE;PEMUCO;RURAL
BIO-BIO;LOS ALAMOS;SEMIURBANO
METROPOLITANA;MARIA PINTO;RURAL
VALPARAISO;CALLE LARGA;SEMIURBANO
ÑUBLE;SAN NICOLAS;RURAL
ÑUBLE;NINHUE;RURAL
ANTOFAGASTA;MEJILLONES;SEMIURBANO
MAGALLANES;PORVENIR;RURAL
ATACAMA;ALTO DEL CARMEN;RURAL
TARAPACA;HUARA;RURAL
BIO-BIO;CONTULMO;RURAL
TARAPACA;PICA;RURAL
LOS RIOS;MAFIL;RURAL
MAULE;PELLUHUE;RURAL
BIO-BIO;ALTO BIO BIO;RURAL
TARAPACA;COLCHANE;RURAL
VALPARAISO;ISLA DE PASCUA;RURAL
ARICA;GENERAL LAGOS;RURAL
LOS LAGOS;QUEILEN;RURAL
BIO-BIO;QUILACO;RURAL
LOS LAGOS;PUQUELDON;RURAL
COQUIMBO;RIO HURTADO;RURAL
OHIGGINS;LA ESTRELLA;RURAL
ANTOFAGASTA;MARIA ELENA;RURAL
TARAPACA;CAMIÑA;RURAL
AYSÉN;PUERTO CISNES;RURAL
LA ARAUCANIA;RENAICO;SEMIURBANO
OHIGGINS;COINCO;RURAL
VALPARAISO;JUAN FERNANDEZ;RURAL
AYSÉN;LAS GUAITECAS;RURAL
MAULE;EMPEDRADO;RURAL
AYSÉN;RIO IBAÑEZ;RURAL
